trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.88}",25,9,-48.82772059314271,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.7744}",20,0,-173.59513097731403,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.681472}",25,0,-133.96823737883147,"{0: 13, 1: 5, 2: 4, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.59969536}",20,0,-21.823973829761222,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.5277319168}",20,0,-146.33293082907076,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.46440408678399997}",25,0,-24.946931321461783,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.40867559636991996}",25,0,-25.625878825132126,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.35963452480552954}",25,5,-21.134127320790874,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.316478381828866}",20,8,-59.99950300280537,"{0: 9, 1: 0, 2: 0, 3: 2, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.2785009760094021}",25,0,-27.154467706181343,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.24508085888827386}",25,12,-84.91760872393837,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.215671155821681}",20,15,-4.369599539660639,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.1897906171230793}",25,14,20.648246249417028,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.16701574306830977}",20,10,-7.6254465838600805,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.1469738539001126}",20,4,-32.02606608474999,"{0: 13, 1: 1, 2: 0, 3: 2, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.1293369914320991}",20,0,11.982852827038112,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1138165524602472}",30,11,-19.173148779459883,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.10015856616501755}",25,18,10.819209814299514,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.08813953822521545}",20,0,25.532305845999442,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.07756279363818959}",25,14,11.143949211157741,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.06825525840160684}",20,0,22.529099394271277,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.060064627393414026}",35,11,41.90555441385702,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.05285687210620434}",25,13,19.82643841441773,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.04651404745345982}",20,6,-3.7885671859516554,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,16,7.152551988579868,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,11,0.2753897224459403,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,1,14.684026193454725,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,15,18.614010597565365,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,12,15.477919730229642,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,8,26.438885319999294,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,13,21.127349904138846,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",35,16,30.156951407289814,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,8,21.95390043625874,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,5,1.0686572107755454,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",25,18,12.438331231092702,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",25,9,25.615618130803604,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",20,3,29.73749091652261,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",20,7,21.531796406175445,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",30,10,29.995560500457678,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",25,17,18.199241854985598,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",25,14,18.071263205010446,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",25,0,32.80511223388253,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,True,"{'a': 0, 'e': 0}",20,6,25.102565298893676,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",20,13,13.853183110449272,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0, 'e': 0}",20,5,20.035168260897006,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",20,9,20.953940498854223,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0, 'e': 0}",20,15,9.519870416182854,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",25,16,17.27846971475534,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",20,14,9.07823304063462,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0, 'e': 0}",20,12,13.397395397444518,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0, 'e': 0}",25,12,20.708837584411842,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0, 'e': 0}",30,24,13.011723133873685,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0, 'e': 0}",30,12,10.98088146909319,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
30,True,"{'a': 0, 'e': 0}",35,22,24.170284146502524,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,True,"{'a': 0, 'e': 0}",25,14,20.21378619667213,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,True,"{'a': 0, 'e': 0}",25,13,23.80263355095569,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,True,"{'a': 0, 'e': 0}",20,14,11.490899394129752,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,True,"{'a': 0, 'e': 0}",25,14,20.472844620735202,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,True,"{'a': 0, 'e': 0}",20,3,25.72329750723892,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,True,"{'a': 0, 'e': 0}",25,14,12.044511829503413,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,True,"{'a': 0, 'e': 0}",25,15,14.286473639169635,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
