trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-90.46594552162664,"{0: 18, 1: 5, 2: 5, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-174.4523136641851,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.57683574843132,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.743092721189072,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.56419035049396,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-158.1662799173824,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-162.01939120066305,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-188.41637925235807,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-159.52125663298128,"{0: 16, 1: 1, 2: 3, 3: 3, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.68861168971273,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.82841921057215,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.23846415122392,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.90125086186998,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.07950729607433,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",35,0,-153.37671083829994,"{0: 23, 1: 2, 2: 5, 3: 4, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.82352337237636,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-200.39358364310363,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.31668815098898,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.95663983045952,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.9394385493477,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,7,-57.4556766059944,"{0: 13, 1: 0, 2: 2, 3: 3, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-61.84380490786745,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-28.516310443123654,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-146.94038874177343,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",35,0,-318.820800558554,"{0: 18, 1: 5, 2: 3, 3: 4, 4: 5}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-207.4092750184046,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",35,0,-175.3814154045959,"{0: 18, 1: 5, 2: 9, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-101.34172426904034,"{0: 14, 1: 5, 2: 3, 3: 3, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-109.6307285110229,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-102.92274568793434,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
